Nom du festival|Pays|Ville|Date|Site web|Awards|Fee|Contact|lat|lng
Festival de Cannes - Cinéfondation|France|Cannes|Mai|http://www.cannescourtmetrage.com/en/|||Dimitra Karya|43.552847|7.017369
Semaine de la critique|France|Cannes|Mai|http://www.semainedelacritique.com/EN/|||Julie Charnay|43.552847|7.017369
La quinzaine des réalisateurs|France|Cannes|Mai|http://www.quinzaine-realisateurs.com/fr/home/||||43.552847|7.017369
Festival de Lussas|France|Lussas|Août|http://www.lussasdoc.org/||||44.612075|4.472088
RISC|France|Marseille|Novembre|http://festivalrisc.org/|||Serge Dentin|43.296482|5.36978
FID |France|Marseille|Juillet|http://www.fidmarseille.org/index.php/en/||||43.296482|5.36978
Côté court|France|Patin|Juin|http://www.cotecourt.org/||||45.704452|6.4387679
Festival Cinéma du réel|France|Paris|Avril|http://www.cinemadureel.org/en||||48.856614|2.3522219
Poitiers Film Festival|France|Potiers|Décembre|http://www.poitiersfilmfestival.com/||||46.5831743|0.3464227
MIFA|France|Annecy|Juin|https://www.annecy.org/home||||45.899247|6.129384
Festival de Clermont-Ferrand|France|Clermont-Ferrand|Février|http://www.clermont-filmfest.com/||||45.777222|3.087025
Premiers Plans|France|Angers|Janvier|http://www.premiersplans.org/||||47.478419|-0.563166
Rencontres internationales Paris/Berlin|France|Paris|Mars|http://www.art-action.org/site/fr/index.php||||48.856614|2.3522219
Festival du cinéma de Brive|France|Brive|Avril|http://www.festivalcinemabrive.fr/home.php||||45.159555|1.533937
Festival Tous court|France|Aix-en-Provence|Novembre|http://festivaltouscourts.com/FTC2016/||||43.529742|5.447427
Films de femmes|France|Créteil|Mars|http://filmsdefemmes.com||||48.7814125|2.4381526
|||||||||
LUFF|Suisse|Lausanne|Octobre|http://2016.luff.ch/fr/||||46.5196535|6.6322734
Locarno|Suisse|Locarno|Août|http://www.pardolive.ch/||||46.1669988|8.7942643
Black Movie|Suisse|Genève|Janvier|http://blackmovie.ch/interedition/||||46.1983922|6.1422961
Tous écrans|Suisse|Genève|Novembre|http://www.tous-ecrans.com/2017/site/fr/le-festival||?||46.1983922|6.1422961
Winterthur|Suisse|Winterthur|Novembre|https://www.kurzfilmtage.ch/EN||||47.49995|8.7375646
Visions du réel|Suisse|Nyon|Avril|https://www.visionsdureel.ch/en/about-us||||46.3832683|6.2347852
|||||||||
Doclisboa|Portugal|Lisboa|Octobre|http://www.doclisboa.org/2017/||?||38.7222524|-9.1393366
IndieLisboa|Portugal|Lisboa|Mai|http://indielisboa.com/en/||?||38.7222524|-9.1393366
|||||||||
RIDM|Canada|Montréal|Novembre|http://ridm.ca/en||||45.5086699|-73.5539925
TIFF / Wavelenght|Canada|Toronto|Septembre|https://www.tiff.net/||||43.653226|-79.3831843
Wavelenght|Canada|||||||56.130366|-106.346771
FNCM|Canada|Montréal|Mars|http://www.nouveaucinema.ca/en||||45.5086699|-73.5539925
Hot Docs|Canada|Toronto|Avril|https://www.hotdocs.ca/i||?||43.653226|-79.3831843
Regard|Canada|Québec|Mars|http://festivalregard.com/en||?||52.9399159|-73.5491361
|||||||||
Berlinale|Allemagne|Berlin|Février|https://www.berlinale.de/en/HomePage.html||||52.5200066|13.404954
Kassel|Allemagne|Kassel|Novembre|http://www.kasselerdokfest.de/en/festival/||?||51.3127114|9.4797461
EMAF|Allemagne|Osnabruck|Avril|http://www.emaf.de/de/index.html||?||52.2799112|8.0471788
Munich FilmFest|Allemagne|Munich|Juin|https://www.filmfest-muenchen.de/en||||48.1351253|11.5819806
Transmediale|Allemagne|Berlin|Février|https://transmediale.de/||||52.5200066|13.404954
Kurzfilm festival Hamburg|Allemagne|Hamburg|Juin|http://festival.shortfilm.com/||||53.5510846|9.9936818
DOK Leipzig|Allemagne|Leipzig|Novembre|http://www.dok-leipzig.de/en/home||||51.3396955|12.3730747
Film Fest Dresden|Allemagne|Dresden|Avril|http://www.filmfest-dresden.de/en/||||51.0504088|13.7372621
Interfilm Berlin|Allemagne|Berlin|Novembre|http://www.interfilm.de/en/||||52.5200066|13.404954
|||||||||
Göteborg|Suède|Gothenburg|Janvier|http://www.giff.se/en||||57.70887|11.97456
Upssala|Suède|Upssala|Octobre|http://www.shortfilmfestival.com/en||||59.8585638|17.6389267
|||||||||
Tampere|Finlande|Tampere|Mars|https://tamperefilmfestival.fi/||||61.4977524|23.7609535
|||||||||
CPH DOX|Danemark|Copenhague|Mars|https://cphdox.dk/en/||||55.6760968|12.5683371
Odense International Film Festival|Danemark|Odense|Septembre|http://www.filmfestival.dk/en/||||55.403756|10.40237
|||||||||
Festival de Vienne|Autriche|Vienne|Mai|http://www.viennale.at/||||48.2081743|16.3738189
VIS Vienna Shorts|Autriche|Vienne|Juin|https://www.viennashorts.com/en/||||48.2081743|16.3738189
Ars Electronics|Autriche|Linz|Septembre|https://www.aec.at/ai/de/||||48.30694|14.28583
|||||||||
Krakow Film Fest|Pologne|Krakow|Juin|http://www.krakowfilmfestival.pl/en/||||50.0646501|19.9449799
Sleepwalkers|Estonie|Tallinn|Novembre|http://swff.ee/?lang=en||||59.4369608|24.7535746
BIEFF|Roumanie|Bucharest|Mars|http://bieff.ro/ro/2017||||44.4325|26.1038889
25 FPS|Croatie|Zagreb|Septembre|https://www.25fps.hr/en||||45.8130293|15.9778949
|||||||||
MIFF|Australie|Melbourne|Août|https://miff.com.au/||||-37.814107|144.96328
Fespaco|Burkina Faso|Ouagadougou|Février|https://www.fespaco.bf/fr/||||12.35|-1.516667
Jihlava|République Tchèque|Jihlava|Octobre|http://www.dokument-festival.com/contact||||49.3983782|15.5870415
Busan|Corée du Sud|Busan|Octobre|http://www.biff.kr/structure/eng/default.asp||||35.1795543|129.0756416
Sarajevo Film Fest|Bosnie|Sarajevo|Août|http://www.sff.ba/en||||43.8562586|18.4130763
TAU|Israel|Tel Aviv|Juillet|http://www.taufilmfest.com/?lang=en||||32.0852999|34.7817676
|||||||||
Ann Arbor|Etats-Unis|Ann Arbor|Mars|http://aafilmfest.org/||||42.2808256|-83.7430378
SXSW|Etats-Unis|Austin|Mars|https://www.sxsw.com/||||30.267153|-97.7430608
Palm Springs|Etats-Unis|Palm Springs|Juin|https://www.psfilmfest.org/||||33.8302961|-116.5452921
Chicago International Film Festival|Etats-Unis|Chicago|Mai|http://www.chicagofilmfestival.com/||||41.8781136|-87.6297982
New directors New films|Etats-Unis|New-York|Mars|https://www.filmlinc.org/festivals/new-directors-new-films-2017/||||40.7143528|-74.0059731
Sundance|Etats-Unis|Park City|Janvier|https://www.sundance.org/festivals/sundance-film-festival||||40.6460622|-111.4979729
|||||||||
LOOP|Espagne|Barcelone|Mai|https://loop-barcelona.com/loop-festival-2017/||||41.3850639|2.1734035
Mecal|Espagne|Barcelone|Avril|http://mecalbcn.org/en/||||41.3850639|2.1734035
Punto de Vista|Espagne|Navarra|Mars|http://www.puntodevistafestival.com/en/ultima_edicion.asp||||42.6953909|-1.6760691
Documenta|Espagne|Madrid|Mai|http://www.documentamadrid.com/en/||||40.4167754|-3.7037902
|||||||||
